created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2021-12-27,Binh Duong,319,344,5322,4274,1048,676,1.934375,21.209788359788362,1510,683,2021-11-27,,0.28372792183389706,0.12833521232619316,0.12701991732431417,0.8030815482901165,0.059939872228485534,372
2021-12-27,Can Tho City,1000,439,5828,5496,332,2,0.146,21.093418181818183,0,11,2021-11-27,,0.0,0.0018874399450926561,0.00034317089910775565,0.9430336307481125,0.17158544955387783,330
2021-12-27,Dong Nai,0,509,7708,6850,858,255,0.7177083333333334,23.156897723411483,423,1240,2021-11-27,,0.054878048780487805,0.16087182148417228,0.03308251167618059,0.8886870783601453,0.0,603
2021-12-27,Hai Phong City,3035,470,6032,5056,976,333,0.8673913043478261,29.675110146642993,1240,2344,2021-11-27,,0.20557029177718833,0.3885941644562334,0.05520557029177719,0.8381962864721485,0.5031498673740054,643
2021-12-27,Hue City,5059,400,7503,6844,659,97,0.16209935897435895,22.161377667590294,435,308,2021-11-27,,0.05797680927628948,0.041050246568039454,0.012928162068505932,0.9121684659469546,0.6742636278821804,562
2021-12-27,Vung Tau,0,182,3458,3152,306,62,0.1636363636363636,18.464206525182135,9,14,2021-11-27,,0.0026026604973973396,0.004048582995951417,0.017929438982070563,0.9115095430884904,0.0,244
2021-12-28,Binh Duong,22,350,5249,4579,670,338,0.4744444444444445,20.894134321849105,453,638,2021-11-28,,0.08630215279100781,0.12154696132596685,0.064393217755763,0.8723566393598781,0.004191274528481615,332
2021-12-28,Can Tho City,0,488,5747,5403,344,6,0.19270833333333331,21.504412850812407,0,2,2021-11-28,,0.0,0.0003480076561684357,0.0010440229685053071,0.940142683139029,0.0,338
2021-12-28,Dong Nai,709,526,7753,7074,679,179,0.6603174603174603,23.21345186021354,104,1358,2021-11-28,,0.013414162259770412,0.17515800335354056,0.023087836966335613,0.9124209983232298,0.09144847155939637,500
2021-12-28,Hai Phong City,3026,489,6275,5359,916,267,1.3421052631578947,28.950716945996277,1142,2575,2021-11-28,,0.18199203187250995,0.4103585657370518,0.042549800796812746,0.8540239043824701,0.48223107569721113,649
2021-12-28,Hue City,1745,432,7118,6542,576,94,0.1448630136986301,19.8816844783715,500,230,2021-11-28,,0.07024445068839562,0.03231244731666198,0.013205956729418376,0.9190783928069682,0.2451531329025007,482
2021-12-28,Vung Tau,0,177,3250,2928,322,52,0.14122807017543856,18.394070786388983,9,16,2021-11-28,,0.002769230769230769,0.004923076923076923,0.016,0.9009230769230769,0.0,270
2021-12-29,Binh Duong,0,352,4819,4254,565,289,0.24166666666666664,22.136895555034762,427,540,2021-11-29,,0.08860759493670886,0.11205644324548661,0.05997094832952895,0.8827557584561112,0.0,276
2021-12-29,Can Tho City,0,470,5969,5631,338,7,0.16249999999999995,20.71743498817967,0,12,2021-11-29,,0.0,0.002010386999497403,0.0011727257497068187,0.9433740995141565,0.0,331
2021-12-29,Dong Nai,0,545,7726,7000,726,185,0.9481481481481482,22.67164313893246,93,1325,2021-11-29,,0.012037276727931659,0.17149883510225214,0.02394512037276728,0.9060315816722755,0.0,541
2021-12-29,Hai Phong City,1152,479,5723,4985,738,204,1.0592592592592593,30.808768246350727,686,2177,2021-11-29,,0.11986720251616285,0.38039489778088414,0.03564564039839245,0.8710466538528744,0.20129302813209854,534
2021-12-29,Hue City,708,423,6898,6413,485,56,0.15295358649789026,21.29205842673308,96,198,2021-11-29,,0.013917077413743114,0.028703972165845172,0.008118295158016816,0.9296897651493187,0.10263844592635546,429
2021-12-29,Vung Tau,0,178,3222,2915,307,61,0.13799999999999998,18.729339267374186,8,9,2021-11-29,,0.002482929857231533,0.002793296089385475,0.01893234016139044,0.9047175667287399,0.0,246
2021-12-30,Binh Duong,0,363,4640,4103,537,236,0.13214285714285712,21.42687322802754,106,362,2021-11-30,,0.022844827586206897,0.07801724137931035,0.05086206896551724,0.8842672413793103,0.0,301
2021-12-30,Can Tho City,0,462,5393,5114,279,5,0.10069444444444442,23.73004099160648,0,14,2021-11-30,,0.0,0.002595957722974226,0.0009271277582050807,0.9482662710921566,0.0,274
2021-12-30,Dong Nai,0,533,7527,6878,649,145,0.5512820512820512,23.58025470011116,80,980,2021-11-30,,0.01062840441078783,0.13019795403215093,0.019263982994552942,0.9137770692174837,0.0,504
2021-12-30,Hai Phong City,1247,468,5896,5056,840,235,0.6043859649122807,32.0390950970714,984,2301,2021-11-30,,0.16689280868385345,0.39026458616010856,0.03985753052917232,0.8575305291723202,0.21149932157394843,605
2021-12-30,Hue City,0,407,6009,5499,510,49,0.16069819819819817,22.664631782945737,60,218,2021-11-30,,0.00998502246630055,0.03627891496089199,0.008154435014145449,0.9151273090364453,0.0,461
2021-12-30,Vung Tau,0,189,3229,2907,322,52,0.31170212765957445,19.302405498281786,14,22,2021-11-30,,0.004335707649427067,0.006813254877671105,0.01610405698358625,0.9002787240631774,0.0,270
2021-12-31,Binh Duong,0,338,5315,4425,890,490,0.25530303030303025,24.355159355080616,1013,666,2021-12-01,,0.19059266227657573,0.12530573847601129,0.09219190968955786,0.8325493885230479,0.0,400
2021-12-31,Can Tho City,0,422,5758,5478,280,5,0.16249999999999995,22.672817894480914,0,2,2021-12-01,,0.0,0.0003473428273706148,0.0008683570684265369,0.951372004168114,0.0,275
2021-12-31,Dong Nai,0,528,8684,7514,1170,494,0.8147619047619047,26.024126647209695,1007,1731,2021-12-01,,0.11596038691847076,0.19933210502072776,0.05688622754491018,0.8652694610778443,0.0,676
2021-12-31,Hai Phong City,2199,473,6440,5393,1047,398,0.3223076923076923,35.867674992291086,1915,2324,2021-12-01,,0.297360248447205,0.36086956521739133,0.061801242236024845,0.8374223602484472,0.34145962732919255,649
2021-12-31,Hue City,0,403,6782,6107,675,167,0.11621212121212118,25.470806100217867,1408,186,2021-12-01,,0.20760837511058686,0.027425538189324684,0.024624004718372162,0.9004718372161604,0.0,508
2021-12-31,Vung Tau,0,186,3520,3137,383,78,0.2740437158469945,21.190120903595293,73,178,2021-12-01,,0.020738636363636365,0.05056818181818182,0.02215909090909091,0.8911931818181819,0.0,305
2022-01-01,Binh Duong,0,317,5262,4453,809,453,0.20572916666666666,22.658454538673826,292,703,2021-12-02,,0.05549220828582288,0.13359939186621056,0.08608893956670467,0.8462561763587989,0.0,356
2022-01-01,Can Tho City,0,417,6035,5649,386,4,0.11428571428571425,21.807564238566712,0,36,2021-12-02,,0.0,0.005965202982601492,0.0006628003314001657,0.936039768019884,0.0,382
2022-01-01,Dong Nai,0,450,8790,7437,1353,568,1.2122222222222223,25.746153157988907,1281,2030,2021-12-02,,0.14573378839590442,0.23094425483503983,0.0646188850967008,0.846075085324232,0.0,785
2022-01-01,Hai Phong City,5392,425,7181,5732,1449,580,1.0830601092896175,33.114740353930955,2781,2445,2021-12-02,,0.3872719676925219,0.34048182704358726,0.08076869516780392,0.7982175184514692,0.7508703523186185,869
2022-01-01,Hue City,1862,391,7896,7000,896,235,0.2321729957805907,24.943407534246575,1754,417,2021-12-02,,0.22213779128672745,0.05281155015197568,0.02976190476190476,0.8865248226950354,0.23581560283687944,661
