created_date,pick_city_name,pick_district_name,timeslot,gross_order,net_order,cancel_order,cnd
2021-12-27,Binh Duong,Ben Cat,11,1,1,0,0
2021-12-27,Binh Duong,Ben Cat,19,3,1,2,2
2021-12-27,Binh Duong,Di An,7,7,2,5,5
2021-12-27,Binh Duong,Di An,8,15,4,11,8
2021-12-27,Binh Duong,Di An,9,10,2,8,8
2021-12-27,Binh Duong,Di An,10,14,5,9,7
2021-12-27,Binh Duong,Di An,11,17,11,6,4
2021-12-27,Binh Duong,Di An,12,25,12,13,9
2021-12-27,Binh Duong,Di An,13,23,7,16,15
2021-12-27,Binh Duong,Di An,14,13,9,4,3
2021-12-27,Binh Duong,Di An,15,15,9,6,5
2021-12-27,Binh Duong,Di An,16,13,2,11,9
2021-12-27,Binh Duong,Di An,17,14,2,12,8
2021-12-27,Binh Duong,Di An,18,9,4,5,4
2021-12-27,Binh Duong,Di An,19,36,5,31,29
2021-12-27,Binh Duong,Di An,20,10,4,6,4
2021-12-27,Binh Duong,Di An,21,3,0,3,1
2021-12-27,Binh Duong,Tan Uyen,10,4,1,3,3
2021-12-27,Binh Duong,Tan Uyen,11,3,1,2,2
2021-12-27,Binh Duong,Tan Uyen,13,1,1,0,0
2021-12-27,Binh Duong,Tan Uyen,14,4,2,2,2
2021-12-27,Binh Duong,Tan Uyen,15,2,1,1,0
2021-12-27,Binh Duong,Tan Uyen,16,1,0,1,1
2021-12-27,Binh Duong,Tan Uyen,19,2,1,1,1
2021-12-27,Binh Duong,Thu Dau Mot Town,5,1,1,0,0
2021-12-27,Binh Duong,Thu Dau Mot Town,6,30,21,9,2
2021-12-27,Binh Duong,Thu Dau Mot Town,7,99,94,5,1
2021-12-27,Binh Duong,Thu Dau Mot Town,8,196,183,13,2
2021-12-27,Binh Duong,Thu Dau Mot Town,9,213,204,9,1
2021-12-27,Binh Duong,Thu Dau Mot Town,10,323,300,23,1
2021-12-27,Binh Duong,Thu Dau Mot Town,11,597,543,54,5
2021-12-27,Binh Duong,Thu Dau Mot Town,12,386,369,17,4
2021-12-27,Binh Duong,Thu Dau Mot Town,13,351,332,19,6
2021-12-27,Binh Duong,Thu Dau Mot Town,14,269,255,14,4
2021-12-27,Binh Duong,Thu Dau Mot Town,15,259,246,13,6
2021-12-27,Binh Duong,Thu Dau Mot Town,16,245,230,15,2
2021-12-27,Binh Duong,Thu Dau Mot Town,17,340,279,61,36
2021-12-27,Binh Duong,Thu Dau Mot Town,18,391,244,147,110
2021-12-27,Binh Duong,Thu Dau Mot Town,19,438,292,146,115
2021-12-27,Binh Duong,Thu Dau Mot Town,20,264,224,40,19
2021-12-27,Binh Duong,Thu Dau Mot Town,21,90,79,11,4
2021-12-27,Binh Duong,Thu Dau Mot Town,22,5,2,3,0
2021-12-27,Binh Duong,Thu Dau Mot Town,23,2,0,2,0
2021-12-27,Binh Duong,Thuan An,7,8,3,5,5
2021-12-27,Binh Duong,Thuan An,8,15,7,8,6
2021-12-27,Binh Duong,Thuan An,9,30,15,15,12
2021-12-27,Binh Duong,Thuan An,10,48,26,22,17
2021-12-27,Binh Duong,Thuan An,11,104,50,54,44
2021-12-27,Binh Duong,Thuan An,12,81,38,43,35
2021-12-27,Binh Duong,Thuan An,13,57,30,27,20
2021-12-27,Binh Duong,Thuan An,14,44,23,21,17
2021-12-27,Binh Duong,Thuan An,15,33,21,12,8
2021-12-27,Binh Duong,Thuan An,16,41,24,17,14
2021-12-27,Binh Duong,Thuan An,17,32,19,13,11
2021-12-27,Binh Duong,Thuan An,18,22,10,12,10
2021-12-27,Binh Duong,Thuan An,19,32,14,18,17
2021-12-27,Binh Duong,Thuan An,20,19,7,12,8
2021-12-27,Binh Duong,Thuan An,21,11,2,9,3
2021-12-27,Binh Duong,Thuan An,23,1,0,1,1
